# Region = CEP
index  ra  dec  j  h  k  ch1  ch2  ch3  ch4  m24  uj  uh  uk  uch1  uch2  uch3  uch4  um24  ak  class
96490  344.05801  62.038268  -100.000  -100.000  -100.000  12.1728  10.6920  -100.000  -100.000  0.856270  10.0000  10.0000  10.0000  0.0624442  0.0478810  10.0000  10.0000  0.0405972  0.00000  0
97091  344.17248  62.040173  -100.000  -100.000  -100.000  14.0680  12.7059  12.9072  -100.000  5.59175  10.0000  10.0000  10.0000  0.109438  0.0287441  0.169585  10.0000  0.0583476  0.00000  0
129620  343.42479  62.207737  -100.000  -100.000  14.6040  13.7933  12.5521  12.1073  11.1228  3.77457  10.0000  10.0000  0.0950000  0.0526064  0.0249258  0.183684  0.438042  0.0525477  0.00000  0
157436  343.35996  62.307035  -100.000  -100.000  -100.000  14.1028  12.6858  12.2527  15.5656  6.78511  10.0000  10.0000  10.0000  0.0381224  0.0223101  0.0750433  8.22321  0.112289  0.00000  0
221063  344.67297  62.487807  -100.000  -100.000  -100.000  15.1923  14.1548  13.7890  13.1820  6.09014  10.0000  10.0000  10.0000  0.0506165  0.0204880  0.222561  0.778972  0.105546  0.00000  0
231364  343.42028  62.533930  -100.000  -100.000  -100.000  13.9131  12.4235  -100.000  -100.000  3.96474  10.0000  10.0000  10.0000  0.0461219  0.0429850  10.0000  10.0000  0.0158955  0.00000  0
231794  344.41670  62.525038  -100.000  -100.000  15.1460  14.0295  13.9269  -100.000  -100.000  5.92377  10.0000  10.0000  0.143000  0.116662  0.0910289  10.0000  10.0000  0.127204  0.00000  0
260415  347.18699  62.548649  -100.000  -100.000  -100.000  14.6880  13.4103  12.9970  13.3798  5.22018  10.0000  10.0000  10.0000  0.0373990  0.0249339  0.0835972  0.497042  0.0228751  0.00000  0
293572  343.63534  62.724447  -100.000  -100.000  -100.000  -100.000  15.2216  13.7500  12.3146  6.73503  10.0000  10.0000  10.0000  10.0000  0.0907184  0.0799332  0.0539725  0.0245725  0.00000  0
378073  348.34891  62.049132  16.7180  15.2050  14.1960  13.1744  -100.000  11.9294  -100.000  6.13308  0.202000  0.138000  0.103000  0.0155389  10.0000  0.0304646  10.0000  0.0218881  0.882933  0
378271  344.00427  62.030741  -100.000  -100.000  -100.000  13.2949  -100.000  10.3432  9.49632  4.65010  10.0000  10.0000  10.0000  0.0942852  10.0000  0.0628439  0.0934388  0.0662701  0.00000  0
379878  343.60610  62.658724  -100.000  -100.000  -100.000  11.9455  -100.000  10.0227  -100.000  4.91753  10.0000  10.0000  10.0000  0.00486219  10.0000  0.00567498  10.0000  0.00907628  0.00000  0
498262  344.04409  62.373941  -100.000  -100.000  -100.000  14.9652  -100.000  -100.000  -100.000  5.43065  10.0000  10.0000  10.0000  0.0308583  10.0000  10.0000  10.0000  0.0226498  0.00000  0
268050  343.57639  62.648268  -100.000  -100.000  -100.000  15.0241  13.8985  13.0923  12.2410  6.62328  10.0000  10.0000  10.0000  0.0175088  0.0123722  0.0361883  0.0291603  0.0395589  0.00000  0
351401  345.06724  62.925465  -100.000  -100.000  -100.000  15.9147  14.8137  13.7915  12.2226  6.76861  10.0000  10.0000  10.0000  0.0297704  0.0226999  0.0484028  0.0311199  0.0236990  0.00000  0
12156  345.62449  61.403370  -100.000  15.8650  15.1050  14.0631  13.8319  13.7195  12.8295  9.06097  10.0000  0.193000  0.136000  0.0104624  0.0151256  0.0615001  0.0516183  0.157545  0.773656  0
17813  344.53394  61.483212  16.2090  15.0650  14.7090  14.1111  13.9917  13.8923  13.6329  8.81696  0.130000  0.102000  0.111000  0.0227151  0.0216054  0.0974194  0.184744  0.0593953  0.572632  0
57365  344.54930  61.791818  15.5640  14.8980  14.5250  14.2683  14.2341  14.2615  14.1841  9.88638  0.0660000  0.0820000  0.0820000  0.0154687  0.0145647  0.0878842  0.143742  0.166331  0.00000  0
