Jmag,Hmag,Ksmag,3.6mag,4.5mag,5.8mag,8.0mag,24mag,AKs,alpha,Cl
15.1,14.3,13.92,13.27,NaN,12.34,NaN,6.82,0.1,NaN,I*
NaN,NaN,13.84,11.34,10.05,8.99,8.1,4.34,NaN,0.87,I
NaN,NaN,14.98,11.9,10.76,9.96,9.28,NaN,NaN,0.12,I
NaN,15,12.86,10.52,9.61,8.84,7.97,NaN,1.92,0.08,I
NaN,NaN,NaN,14.22,13.2,12.09,11.36,NaN,NaN,0.48,I
NaN,15.87,14.66,13.44,12.65,11.84,10.77,NaN,0.07,0.23,I
NaN,15.65,13.36,11.21,10.14,9.35,8.57,4.94,1.75,0.15,I
NaN,NaN,14.05,11.56,10.47,9.7,8.72,4.77,NaN,0.37,I
13.59,12.48,12.05,11.96,11.03,10.09,9.02,5.41,0.53,0.54,I
NaN,NaN,NaN,15.42,13.99,12.63,11.37,7.25,NaN,1.81,I
16.16,14,12.56,10.33,9.41,8.58,7.67,4.13,1.27,0.21,I
16.07,15.06,14.65,13.77,13.48,13.33,12.87,NaN,0.4,-1.84,II
14.28,12.61,11.62,10.37,9.95,9.6,9.29,NaN,0.92,-1.6,II
13.18,11.59,10.68,9.62,9.26,8.93,8.47,6.27,0.86,-1.53,II
NaN,16.05,14.35,12.49,11.76,11.27,10.61,NaN,1.45,-0.71,II
14.95,13.76,13.03,12.01,11.44,10.87,9.98,6.64,0.38,-0.51,II
16.95,15.79,14.75,13.05,12.32,11.7,11.09,NaN,0.05,-0.6,II
15.28,13.85,13.03,11.89,11.36,10.94,10.47,NaN,0.69,-1.22,II
15.34,14.14,13.52,12.69,12.31,11.94,11.11,NaN,0.51,-1.04,II
13.07,11.91,11.22,10.29,9.85,9.46,8.89,6.47,0.39,-1.24,II
14.86,13.77,13.17,12.27,11.8,11.2,10.12,6.35,0.37,-0.36,II
14.66,13.18,12.28,11.02,10.44,9.97,9.35,NaN,0.7,-0.93,II
16.11,13.96,12.73,11.69,11.15,10.7,10.05,NaN,1.45,-0.96,II
14.68,13.8,13.32,12.39,11.97,11.5,10.75,6.35,0.12,-0.95,II
NaN,NaN,11.52,7.4,5.91,4.67,3.83,0.96,NaN,1.25,II
15.42,13.76,12.64,11.03,10.53,10.06,9.26,6.52,0.79,-0.81,II
11.36,10.06,9.1,8.07,7.59,6.99,6.16,3.09,0.35,-0.62,II
14.64,13.36,12.62,11.13,10.6,10.19,9.21,NaN,0.54,-0.68,II
16.01,14.63,13.75,12.95,12.38,11.77,10.92,6.95,0.56,-0.49,II
15.66,14.68,14.07,13.47,13.18,12.64,NaN,NaN,0.19,NaN,II
13.6,12.36,11.63,10.55,10.07,9.61,8.93,NaN,0.45,-0.98,II
NaN,NaN,13.15,11.22,10.43,9.8,8.93,4.11,NaN,-0.23,II
NaN,NaN,14.7,13,12.46,11.76,11.25,NaN,NaN,-0.77,II
NaN,13.38,NaN,10.68,10.31,9.65,9,NaN,NaN,-0.85,II
12.87,11.66,10.79,9.25,8.67,8.17,7.33,4.06,0.29,-0.65,II
15.01,13.9,13.34,12.3,11.81,11.2,10.26,NaN,0.43,-0.48,II
14.16,12.99,12.54,11.86,11.67,11.33,10.75,NaN,0.6,-1.55,II
14.1,12.98,12.46,11.73,11.3,10.82,9.9,NaN,0.49,-0.74,II
14.24,12.85,12.09,10.96,10.54,10.04,9.19,6.27,0.68,-0.8,II
14.03,12.71,11.81,10.19,9.59,9.15,8.5,NaN,0.44,-0.92,II
12.13,11.02,10.32,9.41,8.95,8.5,7.83,4.9,0.29,-1.03,II
14.77,13.4,12.64,11.59,11.12,10.68,10.18,NaN,0.63,-1.22,II
16.41,15.31,14.95,14.39,14.05,13.68,12.92,NaN,0.52,-1.15,II
15.81,14.78,14.39,13.64,13.4,13.17,NaN,NaN,0.44,NaN,II
