Jmag	Hmag	Ksmag	3.6mag	4.5mag	5.8mag	8.0mag	24mag	AKs	alpha	Cl
15.10	14.30	13.92	13.27	     	12.34	     	 6.82	 0.10	     	I*
     	     	13.84	11.34	10.05	 8.99	 8.10	 4.34	     	 0.87	I
     	     	14.98	11.90	10.76	 9.96	 9.28	     	     	 0.12	I
     	15.00	12.86	10.52	 9.61	 8.84	 7.97	     	 1.92	 0.08	I
     	     	     	14.22	13.20	12.09	11.36	     	     	 0.48	I
     	15.87	14.66	13.44	12.65	11.84	10.77	     	 0.07	 0.23	I
     	15.65	13.36	11.21	10.14	 9.35	 8.57	 4.94	 1.75	 0.15	I
     	     	14.05	11.56	10.47	 9.70	 8.72	 4.77	     	 0.37	I
13.59	12.48	12.05	11.96	11.03	10.09	 9.02	 5.41	 0.53	 0.54	I
     	     	     	15.42	13.99	12.63	11.37	 7.25	     	 1.81	I
16.16	14.00	12.56	10.33	 9.41	 8.58	 7.67	 4.13	 1.27	 0.21	I
16.07	15.06	14.65	13.77	13.48	13.33	12.87	     	 0.40	-1.84	II
14.28	12.61	11.62	10.37	 9.95	 9.60	 9.29	     	 0.92	-1.60	II
13.18	11.59	10.68	 9.62	 9.26	 8.93	 8.47	 6.27	 0.86	-1.53	II
     	16.05	14.35	12.49	11.76	11.27	10.61	     	 1.45	-0.71	II
14.95	13.76	13.03	12.01	11.44	10.87	 9.98	 6.64	 0.38	-0.51	II
16.95	15.79	14.75	13.05	12.32	11.70	11.09	     	 0.05	-0.60	II
15.28	13.85	13.03	11.89	11.36	10.94	10.47	     	 0.69	-1.22	II
15.34	14.14	13.52	12.69	12.31	11.94	11.11	     	 0.51	-1.04	II
13.07	11.91	11.22	10.29	 9.85	 9.46	 8.89	 6.47	 0.39	-1.24	II
14.86	13.77	13.17	12.27	11.80	11.20	10.12	 6.35	 0.37	-0.36	II
14.66	13.18	12.28	11.02	10.44	 9.97	 9.35	     	 0.70	-0.93	II
16.11	13.96	12.73	11.69	11.15	10.70	10.05	     	 1.45	-0.96	II
14.68	13.80	13.32	12.39	11.97	11.50	10.75	 6.35	 0.12	-0.95	II
     	     	11.52	 7.40	 5.91	 4.67	 3.83	 0.96	     	 1.25	II
15.42	13.76	12.64	11.03	10.53	10.06	 9.26	 6.52	 0.79	-0.81	II
11.36	10.06	 9.10	 8.07	 7.59	 6.99	 6.16	 3.09	 0.35	-0.62	II
14.64	13.36	12.62	11.13	10.60	10.19	 9.21	     	 0.54	-0.68	II
16.01	14.63	13.75	12.95	12.38	11.77	10.92	 6.95	 0.56	-0.49	II
15.66	14.68	14.07	13.47	13.18	12.64	     	     	 0.19	     	II
13.60	12.36	11.63	10.55	10.07	 9.61	 8.93	     	 0.45	-0.98	II
     	     	13.15	11.22	10.43	 9.80	 8.93	 4.11	     	-0.23	II
     	     	14.70	13.00	12.46	11.76	11.25	     	     	-0.77	II
     	13.38	     	10.68	10.31	 9.65	 9.00	     	     	-0.85	II
12.87	11.66	10.79	 9.25	 8.67	 8.17	 7.33	 4.06	 0.29	-0.65	II
15.01	13.90	13.34	12.30	11.81	11.20	10.26	     	 0.43	-0.48	II
14.16	12.99	12.54	11.86	11.67	11.33	10.75	     	 0.60	-1.55	II
14.10	12.98	12.46	11.73	11.30	10.82	 9.90	     	 0.49	-0.74	II
14.24	12.85	12.09	10.96	10.54	10.04	 9.19	 6.27	 0.68	-0.80	II
14.03	12.71	11.81	10.19	 9.59	 9.15	 8.50	     	 0.44	-0.92	II
12.13	11.02	10.32	 9.41	 8.95	 8.50	 7.83	 4.90	 0.29	-1.03	II
14.77	13.40	12.64	11.59	11.12	10.68	10.18	     	 0.63	-1.22	II
16.41	15.31	14.95	14.39	14.05	13.68	12.92	     	 0.52	-1.15	II
15.81	14.78	14.39	13.64	13.40	13.17	     	     	 0.44	     	II
     	14.96	13.13	11.45	10.84	10.36	 9.55	 5.52	 2.11	-0.68	II
15.88	15.03	14.53	13.46	13.09	12.79	12.25	 9.91	 0.05	-1.47	II
16.00	15.06	14.61	14.26	13.93	13.55	12.56	     	 0.26	-0.90	II
15.84	14.99	14.46	14.13	13.88	13.57	12.99	     	 0.04	-1.53	II
